,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
37,2,0,2,1,0,1,1,2,1,2,1,2
38,0,3,0,0,3,0,0,0,3,0,1,0
39,1,1,2,3,1,1,3,2,2,3,2,1
40,1,1,2,3,1,1,3,2,2,3,2,1
41,2,2,2,3,2,2,2,2,1,0,0,0
42,1,1,1,2,3,1,0,2,0,3,2,1
43,2,3,1,1,0,1,1,2,1,3,2,1
44,0,3,0,0,0,0,0,1,3,0,0,1
45,0,1,1,1,0,1,3,0,3,1,3,0
46,1,3,3,1,3,3,3,2,1,2,0,1
47,2,0,3,0,3,1,1,2,1,1,0,1
48,0,1,1,0,0,0,0,1,2,1,0,1
49,0,0,2,0,1,1,3,0,2,1,0,1
50,2,3,1,0,1,0,1,2,0,3,0,1
51,0,1,0,1,0,1,0,0,2,2,0,1
52,0,1,0,1,0,0,0,0,2,2,0,1
53,2,0,2,3,2,3,3,2,0,1,0,1
54,1,1,1,3,3,3,3,0,0,2,1,1
55,1,2,0,3,2,3,2,2,2,0,0,1
56,3,1,3,3,0,0,0,2,0,2,1,1
57,1,2,1,3,3,3,3,3,1,3,0,1
58,1,2,1,2,1,2,2,2,3,1,1,1
59,1,0,2,2,1,1,2,1,3,0,0,1
60,2,1,2,1,1,2,2,3,3,2,0,1
61,1,3,3,0,3,2,3,2,0,2,0,1
62,1,1,1,0,2,1,1,2,2,1,0,2
63,0,3,0,1,2,1,2,1,2,1,1,1
64,1,3,0,3,2,0,0,1,3,0,2,1
65,1,3,0,3,2,0,0,1,3,0,2,1
66,1,1,1,0,1,1,2,2,3,1,1,1
67,0,3,0,0,1,0,0,1,3,1,2,1
68,3,0,3,1,1,3,3,2,1,3,2,1
69,2,3,0,0,1,1,0,1,2,3,2,1
70,1,2,0,0,1,2,1,1,2,0,0,1
71,1,3,1,1,2,2,3,1,2,0,0,1
72,1,3,1,0,2,2,3,1,1,0,0,1
73,2,3,1,1,2,1,2,2,1,0,0,0
74,3,0,3,2,3,3,3,3,1,3,1,1
75,2,1,3,1,3,1,2,3,3,2,2,1
76,2,1,3,1,3,1,2,3,3,2,2,1
77,0,3,0,2,3,1,1,1,3,0,2,1
78,0,3,1,1,2,1,3,1,2,0,1,1
79,2,2,1,0,2,3,3,2,0,3,0,0
80,0,1,1,0,0,0,0,1,3,1,0,1
81,1,1,3,0,3,3,3,2,0,3,0,1
82,1,1,3,1,2,2,3,2,2,1,0,1
83,1,3,1,0,3,2,2,2,0,3,0,1
84,0,0,3,0,0,2,2,1,3,3,2,1
85,0,2,1,1,1,2,2,1,3,1,1,1
86,2,1,2,0,3,2,3,2,0,3,1,1
87,1,1,1,0,0,1,1,1,2,2,1,1
88,3,0,3,1,3,3,3,2,0,3,0,1
89,0,2,0,0,1,1,1,2,3,0,0,1
90,1,1,1,0,1,3,3,1,1,0,0,1
91,2,1,2,0,3,2,3,2,0,3,1,1
92,2,1,2,1,3,2,3,2,0,3,1,1
93,1,1,1,0,0,1,1,1,2,2,1,1
94,0,3,0,0,0,3,3,0,3,0,2,0
95,0,2,1,2,0,2,3,0,3,1,3,1
96,0,3,0,3,3,1,1,1,3,1,2,1
97,0,1,1,1,0,0,0,1,1,2,0,1
98,1,3,0,2,1,0,0,1,2,1,1,1
99,2,2,1,0,2,1,1,2,1,1,0,1
100,2,2,2,1,2,1,2,2,2,1,1,1
101,1,1,2,0,1,1,0,1,1,1,2,1
102,2,2,1,0,2,1,1,2,1,1,0,1
103,2,2,1,1,1,1,3,1,1,0,0,1
104,1,1,1,1,0,0,1,1,2,0,0,1
105,2,2,1,1,1,1,3,1,1,0,0,1
106,1,1,3,0,3,2,3,2,0,3,0,1
107,0,2,2,0,2,2,3,2,3,3,0,1
108,2,0,3,2,3,2,3,2,2,3,1,1
109,2,3,3,1,3,3,3,2,0,2,0,1
110,1,2,1,0,3,1,2,1,0,3,0,1
111,2,2,0,1,2,1,3,1,0,2,1,1
112,2,2,1,1,2,1,3,1,0,2,1,1
113,3,0,3,2,2,3,2,3,2,2,1,1
114,1,2,1,0,3,1,2,1,0,3,0,1
115,3,1,2,1,2,1,2,1,0,2,2,1
116,2,2,2,0,1,1,2,2,2,1,1,1
117,1,2,1,1,2,0,1,2,2,0,0,1
118,2,2,0,1,3,1,2,1,0,1,2,1
119,0,3,0,0,3,3,3,1,2,0,0,1
120,1,3,0,0,3,1,3,1,1,1,0,1
121,2,2,0,1,3,1,2,1,0,1,2,1
122,1,3,0,2,1,0,0,3,3,0,0,1
123,2,3,0,2,2,1,1,2,3,0,0,1
124,1,1,1,0,2,2,3,1,2,0,0,1
125,2,2,0,0,3,3,3,3,0,2,0,1
126,2,3,0,0,2,0,0,1,3,0,2,1
127,2,3,0,0,2,0,0,1,3,0,2,1
128,2,2,1,0,0,0,0,1,3,3,2,2
129,0,0,1,0,1,0,0,0,3,1,0,1
130,2,3,3,1,3,3,3,2,1,2,0,1
131,0,1,0,2,0,2,3,0,3,2,3,1
132,0,1,0,2,0,2,3,0,3,2,3,1
133,0,1,0,0,0,2,1,0,2,1,1,1
134,1,3,0,1,2,1,1,1,1,0,1,1
135,2,3,1,0,2,2,3,1,0,3,1,1
136,2,3,1,0,2,1,2,2,1,3,0,1
137,1,1,2,1,2,1,2,2,3,2,0,1
138,1,2,1,1,2,2,3,1,2,0,0,1
139,1,2,1,1,2,2,3,1,2,0,0,1
140,2,3,1,0,2,2,3,1,0,3,1,1
141,2,3,1,0,2,1,2,2,1,3,0,1
142,0,0,0,0,0,3,3,0,3,3,3,1
143,0,0,0,0,0,0,0,0,2,1,0,1
144,0,0,0,0,0,3,3,0,3,3,3,1
145,2,3,3,0,3,3,3,2,0,1,0,1
146,0,3,0,0,2,2,3,0,3,0,1,1
147,1,1,1,0,3,1,3,2,0,3,0,1
148,0,1,1,2,1,1,1,1,3,1,1,1
149,2,1,3,3,2,1,2,2,3,1,2,1
150,1,0,3,1,1,0,0,1,2,0,2,1
151,2,1,3,3,3,3,3,3,0,3,0,0
152,1,2,0,0,3,3,3,0,2,0,1,1
153,1,2,0,0,3,3,3,0,2,0,1,1
154,0,1,2,3,0,3,3,2,3,2,2,1
155,0,1,2,3,1,3,3,2,3,2,2,1
156,0,1,2,3,0,3,3,2,3,2,2,1
157,0,1,2,3,1,3,3,2,3,2,2,1
158,0,3,0,1,1,1,0,2,3,0,0,1
159,0,2,1,0,1,2,3,2,3,1,0,1
160,1,3,0,1,2,0,0,1,0,1,1,1
161,1,3,0,0,1,1,0,1,0,3,0,0
162,1,2,0,0,1,2,1,1,2,1,1,1
163,1,2,1,3,0,3,3,3,2,0,0,1
164,1,2,1,3,0,3,3,3,2,0,0,1
165,1,2,3,0,3,1,3,1,0,1,0,1
166,0,2,1,1,2,2,3,0,2,0,1,1
167,1,2,0,0,1,2,2,0,2,0,0,0
168,0,2,0,1,2,1,2,0,3,0,2,1
169,1,3,1,0,3,2,3,1,0,3,0,1
170,1,3,0,0,0,0,0,2,2,0,0,0
171,2,1,1,1,1,0,0,2,1,1,0,1
172,2,1,1,1,1,0,0,2,1,1,0,1
173,1,2,0,0,0,3,2,1,3,1,3,1
174,1,0,1,1,2,0,1,1,2,0,0,1
175,0,1,0,0,2,2,2,1,2,3,0,1
176,1,0,1,1,2,0,1,1,2,0,0,1
177,1,1,2,2,2,1,1,2,3,1,2,1
178,0,3,0,2,0,0,0,2,3,1,1,1
179,2,2,1,2,0,1,2,2,0,1,0,1
180,2,2,1,2,0,1,2,2,0,1,0,1
181,2,2,3,1,3,3,3,2,0,3,0,1
182,1,3,0,2,1,2,2,2,3,0,0,1
183,0,2,1,0,1,1,3,2,3,1,0,1
184,0,2,1,0,1,1,2,2,3,1,0,1
185,2,0,3,1,3,3,3,2,1,0,1,1
186,1,0,3,1,2,1,3,2,2,0,0,1
187,1,3,1,2,2,1,1,2,2,0,1,1
188,1,1,2,1,2,2,3,2,0,0,0,1
189,1,1,2,0,2,2,3,2,0,0,0,1
190,2,1,2,3,1,2,3,2,1,1,0,1
191,0,0,1,0,1,2,2,2,3,1,1,1
192,0,2,1,3,3,2,3,2,1,1,0,1
193,1,2,1,1,1,0,1,1,1,0,1,1
194,1,2,1,1,1,0,1,1,1,0,1,1
195,1,2,2,1,1,3,3,2,1,0,0,1
196,1,2,2,2,1,2,2,2,3,1,1,1
197,3,0,3,1,0,1,1,3,0,3,1,1
198,0,3,0,0,0,1,3,0,3,3,3,2
199,0,3,0,1,0,1,1,0,3,0,3,0
200,3,0,3,0,0,1,1,2,1,3,2,2
201,2,0,3,1,3,3,3,2,0,3,0,1
202,0,1,1,0,1,2,2,0,2,3,0,1
203,0,1,2,0,2,2,2,1,2,0,0,1
204,0,1,2,0,2,1,1,1,2,1,0,1
205,3,0,3,2,3,1,1,3,0,3,2,2
206,3,0,3,2,3,1,1,3,0,3,2,2
207,1,2,2,0,0,3,3,1,1,0,0,1
208,1,1,2,3,3,2,3,1,1,2,0,1
209,3,0,3,1,0,0,0,3,1,3,2,2
210,3,2,3,1,0,0,0,1,1,3,3,1
211,2,3,1,3,2,1,2,2,2,1,1,1
212,3,1,3,1,0,0,0,3,0,2,1,1
213,2,2,1,1,0,3,3,1,1,0,1,1
214,1,3,0,2,3,1,2,2,1,2,1,1
215,0,1,3,3,0,3,3,2,2,3,2,1
216,2,2,1,1,3,1,2,1,0,1,2,1
217,2,3,1,1,1,1,2,1,2,0,0,1
218,1,1,1,0,1,1,2,1,2,0,1,1
219,1,2,2,2,2,3,3,1,1,1,0,1
220,1,0,2,1,2,3,2,1,2,1,0,1
221,1,2,1,1,3,2,3,1,0,1,0,1
222,0,2,0,0,0,0,0,0,3,1,0,1
223,2,3,1,1,2,1,1,3,1,1,1,1
224,2,2,2,1,2,2,2,2,1,1,2,0
225,1,1,1,2,1,3,3,1,2,1,2,1
226,2,2,3,1,3,3,3,1,0,3,0,1
227,2,3,1,2,2,1,1,3,2,2,1,1
228,1,1,1,2,1,3,3,1,2,1,2,1
229,0,1,1,2,2,1,1,2,3,0,2,1
230,0,1,0,0,0,2,3,0,3,1,3,2
231,2,0,0,0,1,1,2,1,2,0,1,1
232,2,0,1,3,2,2,2,3,2,2,1,1
233,0,1,1,2,2,1,1,2,3,0,2,1
234,2,3,0,2,0,0,1,2,2,0,0,1
235,1,2,0,0,3,1,1,1,2,1,0,1
236,1,2,0,0,3,1,1,1,2,1,0,1
237,1,3,0,0,3,2,2,1,2,1,0,1
238,1,2,0,0,3,1,1,1,2,1,0,1
239,2,3,0,2,0,0,1,2,2,0,0,1
240,2,2,2,0,3,0,2,2,0,3,0,1
241,3,0,3,1,3,0,1,3,0,2,2,1
242,1,2,1,0,3,3,3,1,0,0,1,1
243,3,0,3,1,1,1,1,3,0,3,0,2
244,3,0,3,1,1,1,1,3,0,3,0,2
245,1,3,0,1,2,0,1,3,3,3,1,1
246,0,3,0,0,1,2,2,2,2,0,0,1
247,2,2,1,2,1,1,3,1,0,0,0,1
248,1,2,0,0,1,1,2,1,2,0,1,1
249,1,3,0,1,2,0,1,3,3,3,1,1
250,3,0,3,0,0,2,1,3,1,3,1,1
251,0,2,0,0,1,2,1,2,3,2,1,1
252,3,0,3,3,2,0,0,3,0,0,2,1
253,1,3,2,0,3,1,3,1,1,1,0,1
254,0,2,0,0,1,2,1,2,3,2,1,1
255,2,2,1,3,1,2,3,1,1,1,0,1
256,3,0,2,1,1,0,0,3,1,1,0,1
257,0,3,0,1,1,1,2,2,3,2,0,1
258,1,1,3,0,3,1,2,2,0,3,0,1
259,3,0,3,2,2,1,1,3,2,3,2,2
260,1,0,1,0,1,2,2,1,1,2,0,1
261,0,3,0,1,2,1,3,1,2,1,0,0
262,2,1,0,0,0,1,1,1,2,1,1,1
263,1,0,1,0,1,3,2,1,1,2,0,1
264,3,2,3,2,0,0,1,3,0,3,2,1
265,3,0,3,0,1,0,0,2,0,2,1,2
266,2,3,0,3,3,3,2,3,3,2,1,0
267,1,0,3,3,1,2,1,2,2,3,3,2
268,0,2,0,3,1,0,1,3,3,3,0,1
269,3,0,3,3,3,0,1,3,1,3,1,1
270,1,2,0,3,2,3,2,1,2,2,2,1
271,3,0,3,3,3,0,1,3,1,3,1,1
272,3,0,3,3,1,2,3,3,1,3,1,1
273,2,3,1,2,1,1,1,2,1,2,0,1
274,1,3,1,3,2,3,3,3,2,3,0,1
275,1,2,0,3,2,3,2,1,2,2,2,1
276,0,2,0,3,1,0,1,3,3,3,0,1
277,3,0,3,3,3,0,1,3,1,3,1,1
278,3,0,3,3,1,0,0,2,1,3,3,2
279,2,1,2,3,2,1,2,3,2,3,2,2
280,3,0,3,3,1,0,0,3,0,3,0,1
281,1,0,3,3,3,0,0,2,1,3,1,2
282,1,1,1,3,0,1,2,2,2,1,0,1
283,2,1,2,3,2,1,2,3,2,3,2,2
284,3,2,0,3,3,3,3,3,1,2,1,1
285,3,2,0,3,3,3,3,3,1,2,1,1
286,3,1,3,1,1,3,2,3,0,3,2,1
287,1,1,1,3,3,3,2,1,2,2,2,1
288,2,1,0,2,3,2,2,2,2,3,2,2
289,3,1,3,3,3,3,3,3,0,3,0,1
290,2,1,0,2,3,2,2,2,2,3,2,2
291,3,0,3,1,3,0,0,3,1,2,2,1
292,3,2,1,3,3,2,2,3,1,2,2,1
293,0,0,1,2,3,0,0,1,3,1,1,1
294,3,0,3,3,3,2,2,3,0,3,0,1
295,3,1,3,2,1,0,1,3,0,2,0,1
296,3,3,2,2,2,3,3,3,0,0,1,1
297,0,2,0,1,2,1,1,3,3,2,1,1
298,1,3,0,2,3,0,1,3,3,3,1,1
299,0,3,0,1,2,1,1,3,3,2,1,1
300,1,2,0,2,2,2,2,1,2,1,2,1
301,3,0,3,0,0,0,0,2,1,2,1,1
302,2,3,1,2,3,1,1,3,3,2,1,1
303,1,3,1,0,3,0,0,1,2,0,0,1
304,2,3,3,1,3,1,3,2,0,0,0,1
305,3,2,3,2,0,0,1,3,0,1,0,1
306,1,2,2,1,2,0,2,1,2,0,0,1
307,3,1,2,2,3,0,0,3,0,1,0,1
308,3,1,3,2,3,0,0,3,0,2,0,1
309,1,0,2,0,0,1,1,2,3,0,0,1
310,3,2,3,2,0,0,1,3,0,1,0,1
311,1,2,1,1,1,2,3,1,1,0,0,1
312,2,1,2,3,3,2,3,3,2,2,0,1
313,2,1,2,3,1,3,3,2,1,0,0,1
314,1,0,2,2,2,3,3,1,2,2,2,1
315,0,0,2,2,3,2,2,1,3,2,2,1
316,3,2,1,3,3,3,3,3,1,2,1,1
317,3,3,1,3,2,3,3,3,1,2,2,1
318,3,3,2,3,2,2,2,3,2,2,3,2
319,3,3,1,3,2,3,3,3,1,2,2,1
320,3,3,2,3,2,2,2,3,2,2,3,2
321,3,2,1,3,2,3,3,3,1,1,1,1
322,1,2,0,2,1,0,0,2,1,2,0,1
323,3,2,2,3,2,3,3,3,1,2,0,1
324,3,1,1,3,1,1,2,3,0,2,0,1
325,3,1,1,3,1,1,2,3,0,2,0,1
326,3,2,3,3,3,0,0,2,0,3,3,2
327,3,1,3,3,3,0,0,3,1,3,3,1
328,3,0,3,2,2,0,0,3,0,2,1,1
329,3,1,2,1,0,0,0,3,0,1,0,1
330,3,0,3,3,3,1,2,3,1,2,3,1
331,3,0,3,3,3,1,2,3,1,2,3,1
332,2,2,2,3,0,2,3,2,1,0,0,1
333,2,2,0,1,3,2,2,1,0,0,2,1
334,1,3,0,2,1,2,1,1,2,3,3,2
335,3,3,3,3,3,0,0,3,0,3,3,2
336,2,1,3,0,0,0,0,0,2,2,3,1
337,1,1,2,3,2,3,2,2,1,2,2,1
338,3,1,3,3,3,3,3,3,0,3,3,1
339,3,0,3,2,2,1,1,3,0,3,1,2
340,3,0,3,2,0,1,0,3,0,3,0,1
341,3,1,3,3,0,0,0,2,0,3,3,1
342,3,0,3,0,3,0,0,3,1,3,1,1
343,3,0,3,0,3,0,0,3,1,3,1,1
344,3,2,3,2,2,0,1,3,0,3,2,1
345,0,3,0,0,0,3,3,3,3,3,1,1
346,0,3,0,3,1,2,1,0,3,3,3,2
347,3,1,3,3,3,0,0,3,0,3,3,1
348,3,2,2,3,2,2,2,3,0,3,1,1
349,2,3,0,2,3,1,1,3,2,3,0,1
350,3,3,1,3,3,2,1,3,1,3,1,1
351,2,3,0,2,3,1,1,3,2,3,0,1
352,1,3,0,2,2,1,0,2,1,2,0,1
353,3,2,3,3,3,3,3,3,0,3,3,1
354,0,0,2,0,0,3,3,0,1,1,3,1
355,0,3,0,2,1,2,1,0,3,1,3,1
356,3,1,3,3,2,3,2,3,1,3,2,1
357,3,1,3,3,3,1,1,2,1,3,3,2
358,3,1,3,3,3,1,1,3,0,3,2,2
359,3,0,3,2,2,1,2,3,0,2,1,1
360,2,3,1,1,3,1,3,2,0,2,0,1
361,2,1,2,2,2,2,2,3,2,3,1,1
362,3,2,3,2,1,0,1,3,0,1,1,1
363,3,1,3,1,1,0,0,3,0,3,1,1
364,3,2,3,3,2,0,2,3,0,2,1,2
365,3,1,3,3,3,0,0,3,1,3,3,1
366,3,2,3,3,2,0,2,3,0,2,1,2
367,3,2,3,2,1,1,1,3,0,2,0,1
368,3,0,3,3,3,2,3,3,0,2,0,1
369,3,0,3,2,1,0,0,1,0,3,3,2
370,0,3,0,2,0,3,3,2,3,3,1,1
371,1,0,2,0,0,1,1,1,2,3,0,1
372,2,0,3,0,0,3,2,1,2,3,2,1
373,1,2,1,1,3,1,3,1,0,2,0,1
374,3,1,3,3,2,0,2,3,0,3,2,1
375,3,2,3,3,3,0,0,3,0,3,3,2
376,3,1,3,3,1,2,2,3,1,3,2,1
377,3,0,3,2,1,0,0,1,0,3,3,2
378,3,2,3,3,2,0,1,3,0,3,3,1
379,2,1,2,2,3,3,2,3,1,2,2,1
380,2,0,2,1,2,1,1,2,0,3,0,1
381,3,1,3,3,2,2,2,3,0,3,1,1
382,2,0,2,1,2,1,1,2,0,3,0,1
383,2,0,2,1,2,1,1,2,0,3,0,1
384,1,1,2,1,2,3,2,3,3,3,0,1
385,1,2,0,2,2,1,1,3,3,3,1,1
386,1,2,1,1,2,3,2,3,3,3,0,1
387,2,3,1,0,1,2,2,2,1,0,1,1
388,1,1,1,0,2,3,2,3,3,3,0,1
389,3,0,2,2,3,2,2,3,0,2,1,2
390,0,3,0,0,0,1,3,0,3,3,3,2
391,3,1,3,3,2,2,2,3,0,3,1,1
392,3,0,3,1,2,0,1,3,0,0,0,1
393,2,3,3,1,3,1,3,2,0,0,0,1
394,3,2,3,2,0,0,1,3,0,1,1,1
395,3,0,3,3,0,0,1,3,1,1,3,2
396,0,3,0,3,3,3,3,3,3,0,1,1
397,3,2,3,2,2,1,2,3,0,2,2,1
398,3,2,3,2,2,1,2,3,0,2,2,1
399,2,3,1,2,0,1,2,1,0,0,0,1
400,0,3,0,3,3,3,3,3,3,0,1,1
401,1,0,2,0,0,2,1,0,1,0,2,1
402,3,1,3,2,2,2,3,3,0,1,2,1
403,3,2,3,3,2,1,2,3,0,2,2,1
404,1,3,0,3,1,2,1,2,1,1,0,1
405,2,0,3,0,0,1,1,1,2,3,1,1
406,3,1,3,2,0,1,1,3,1,2,2,1
407,3,0,3,3,3,1,1,3,0,2,2,2
408,3,0,3,3,3,0,0,2,0,2,3,1
409,3,1,3,3,0,3,2,3,0,1,1,0
410,2,1,2,2,2,3,3,3,2,1,0,1
411,2,1,2,2,2,3,3,3,2,1,0,1
412,0,3,1,0,3,2,3,1,1,2,0,1
413,3,1,3,3,3,0,0,3,1,3,3,2
414,2,1,2,3,2,3,3,3,1,1,0,1
415,2,3,1,3,3,3,3,3,2,3,0,1
416,3,1,3,1,3,0,0,2,1,2,3,1
417,0,2,1,0,3,3,3,0,3,0,2,1
418,3,0,3,1,3,0,0,3,1,3,2,1
419,0,3,0,0,0,3,2,2,3,2,1,1
420,3,2,2,2,2,3,3,2,1,2,3,2
421,0,3,0,2,0,3,2,0,3,1,3,2
422,1,3,1,1,0,2,2,0,2,0,2,1
423,3,0,3,1,0,0,1,2,0,3,2,2
424,1,3,1,1,0,2,2,0,2,0,2,1
425,0,3,0,2,0,3,2,0,3,1,3,2
426,0,3,0,1,0,2,2,0,3,0,3,1
427,3,3,1,0,1,0,1,3,1,1,2,1
428,2,1,2,0,0,1,1,2,1,1,0,1
429,3,3,3,2,2,1,1,3,0,1,2,1
430,3,0,3,1,0,0,1,2,0,3,2,2
431,1,2,2,1,1,2,3,2,1,1,0,1
432,3,0,3,2,1,1,1,1,0,2,3,1
433,3,0,3,2,3,0,0,3,0,0,0,1
434,3,1,3,3,1,3,2,3,0,3,1,1
435,3,0,3,2,3,0,0,3,0,0,0,1
436,2,3,2,1,0,3,2,1,1,1,1,1
437,3,1,3,3,0,0,0,3,0,2,3,1
438,3,1,3,3,1,3,2,3,0,3,1,1
439,0,2,1,0,0,0,2,0,0,1,0,1
440,3,0,3,1,1,0,1,3,0,3,1,2
441,3,1,3,1,0,0,1,3,0,2,3,1
442,3,3,3,3,3,0,2,3,0,2,3,2
443,3,1,3,3,1,1,0,1,1,2,3,2
444,0,2,0,0,0,0,1,0,3,3,3,2
445,3,3,1,1,1,0,1,3,1,1,1,1
446,3,0,3,2,2,3,3,3,0,2,2,1
447,3,1,2,1,3,0,0,2,1,2,3,1
448,2,2,1,1,3,0,1,1,0,1,1,1
449,3,0,3,3,3,2,1,3,0,1,2,1
450,3,0,3,3,3,2,1,3,0,1,2,1
451,2,0,3,0,3,1,1,3,0,3,0,1
452,0,2,0,0,2,2,1,2,3,2,1,1
453,3,0,3,3,2,0,0,3,1,3,3,2
454,0,0,2,0,0,2,3,0,3,2,2,1
455,3,2,3,3,2,0,0,3,1,2,3,2
456,2,2,2,2,3,0,0,3,2,1,2,1
457,2,2,1,3,3,3,3,3,1,1,1,1
458,3,0,3,3,2,0,0,3,1,3,3,2
459,3,2,3,1,1,1,2,3,1,1,0,0
460,2,1,3,2,2,1,1,2,2,1,3,1
461,2,2,1,2,2,0,0,3,1,1,0,1
462,3,0,3,2,2,1,1,2,0,1,3,1
463,2,3,3,1,3,3,3,2,0,0,0,1
464,3,0,3,1,2,0,0,3,0,2,0,1
465,3,0,2,3,3,1,1,3,3,3,1,1
466,3,1,2,1,0,2,2,3,0,2,3,1
467,2,1,3,2,0,0,0,0,2,3,3,1
468,3,0,3,1,2,0,0,3,0,1,0,1
469,2,3,0,0,0,3,2,0,0,1,1,1
470,3,0,3,2,3,2,2,3,0,1,2,1
471,3,2,2,2,2,3,2,2,0,2,3,1
472,3,0,3,2,2,3,3,3,0,3,2,1
473,3,0,3,1,0,0,0,2,1,3,2,1
474,3,0,3,0,2,1,1,3,0,3,0,1
475,3,3,1,1,2,0,1,3,0,1,1,1
476,3,0,2,1,3,0,0,3,1,2,1,1
477,3,0,3,0,1,0,0,2,0,3,2,1
478,3,3,1,1,2,0,1,3,0,1,1,1
479,3,3,1,3,1,0,1,3,0,2,1,1
480,3,0,2,3,0,0,1,3,0,2,0,1
481,3,0,3,3,2,0,0,1,0,3,3,2
482,3,0,3,1,3,0,0,3,0,3,0,1
483,3,0,3,1,3,0,0,3,0,3,0,1
484,3,1,3,3,3,0,1,2,0,2,3,1
485,3,3,2,0,0,0,0,2,0,0,1,1
486,3,3,2,0,0,0,0,2,0,0,1,1
487,3,3,2,0,0,0,0,3,0,0,1,1
488,3,0,3,3,2,3,3,3,2,3,2,2
489,3,0,2,2,1,1,1,3,2,3,1,1
490,3,3,2,3,1,3,2,3,1,2,2,1
491,2,1,3,2,0,1,1,0,2,3,3,2
492,2,1,3,2,0,1,1,0,2,3,3,2
493,2,3,2,3,2,3,3,3,3,3,3,1
494,0,0,1,3,0,3,3,0,3,0,3,1
495,3,0,3,2,0,0,0,2,0,2,2,2
496,1,1,1,0,2,1,1,3,3,2,0,1
497,1,0,2,2,2,3,3,1,2,3,2,1
498,3,0,3,2,0,0,0,2,0,2,2,2
499,2,3,2,3,2,3,3,3,3,3,3,1
500,1,1,1,0,2,1,1,3,3,2,0,1
501,3,1,3,3,1,3,3,3,0,3,3,2
502,3,1,3,3,1,3,3,3,0,3,3,2
503,3,0,3,0,1,0,1,2,0,3,2,2
504,3,0,2,0,1,0,0,2,0,3,2,2
505,3,1,3,3,1,1,1,2,0,3,3,2
506,3,0,3,0,1,0,0,2,1,3,2,2
507,3,3,3,2,2,0,0,3,0,2,0,1
508,3,2,2,1,2,3,2,3,0,2,1,1
509,3,0,3,3,2,3,2,3,0,2,3,2
510,3,1,3,3,1,2,2,2,0,1,0,1
511,3,2,2,1,2,3,2,3,0,2,1,1
512,3,1,3,1,3,2,2,3,0,3,1,1
513,3,1,3,2,3,0,0,2,0,2,3,2
514,3,1,3,2,3,0,0,2,0,2,3,2
515,2,3,3,3,3,3,3,3,1,3,0,1
516,3,2,3,3,3,0,0,3,1,3,3,1
517,3,2,3,1,3,0,0,3,0,2,0,0
518,3,0,3,3,2,1,1,2,1,2,3,1
519,1,0,3,2,2,3,3,1,2,3,2,1
520,3,0,3,3,2,2,1,3,3,3,1,1
521,1,1,3,1,2,2,2,3,3,2,0,1
522,2,0,3,2,3,3,3,3,2,3,1,1
523,3,1,3,2,2,3,3,2,1,0,0,1
524,2,1,3,2,2,3,3,2,1,2,0,1
525,3,2,1,3,3,3,2,3,1,2,1,1
526,1,0,3,2,2,3,3,1,2,3,2,1
527,0,0,3,2,3,3,3,1,2,3,3,1
528,2,1,3,2,2,3,2,3,2,3,0,1
529,3,2,1,2,1,0,1,2,0,1,0,1
530,2,0,1,1,1,0,1,3,3,3,2,1
531,3,0,3,3,3,1,2,3,0,1,2,1
532,3,0,3,3,3,1,2,3,0,1,2,1
